Product_ID,Product_Name,Category,Price,Season,Difficulty,Sunlight,Days_To_Harvest,Inventory,Gross_Margin_Percent
P1150,Bean Organic,Vegetable Seeds,8.88,Spring,Beginner,Partial Sun,52,89,0.6
P1151,Tomato Feed Classic,Soil & Fertilizer,13.49,Spring,Intermediate,Indoor,N/A,151,0.39
P1152,Coneflower Classic,Perennials,16.51,Spring,Beginner,Shade,N/A,523,0.6
P1153,Poppy Starter,Flower Seeds,6.14,Spring,Beginner,Indoor,N/A,998,0.57
P1154,Pruner Heirloom,Garden Tools,34.89,Spring,Advanced,Partial Sun,N/A,474,0.63
P1155,LED Grow Light Organic,Indoor Growing,77.63,Winter,Beginner,Indoor,N/A,540,0.57
P1156,Tomato Feed Pro,Soil & Fertilizer,7.36,Spring,Intermediate,Full Sun,N/A,400,0.39
P1157,Cucumber Pro,Vegetable Seeds,6.14,Spring,Beginner,Indoor,57,912,0.62
P1158,Compost Booster Classic,Soil & Fertilizer,27.84,Spring,Beginner,Partial Sun,N/A,596,0.57
P1159,Slug Control Organic,Pest Control,13.26,Summer,Intermediate,Indoor,N/A,387,0.62
P1160,Lettuce Starter,Vegetable Seeds,7.61,Spring,Beginner,Shade,88,1193,0.59
P1161,Microgreen Tray Mix,Indoor Growing,45.34,Winter,Beginner,Shade,N/A,1175,0.44
P1162,Aster Collection,Flower Seeds,5.93,Spring,Beginner,Indoor,N/A,38,0.61
P1163,Metal Raised Bed Pro,Raised Beds,50.86,Early Spring,Intermediate,Shade,N/A,970,0.67
P1164,Cucumber Heirloom,Vegetable Seeds,3.88,Spring,Intermediate,Indoor,100,321,0.49
P1165,Poppy Mix,Flower Seeds,4.45,Spring,Intermediate,Shade,N/A,1195,0.59
P1166,Hosta Premium,Perennials,16.78,Spring,Intermediate,Partial Sun,N/A,1155,0.59
P1167,Kale Premium,Vegetable Seeds,5.58,Spring,Beginner,Full Sun,51,340,0.49
P1168,Humidity Dome Organic,Indoor Growing,59.32,Winter,Beginner,Full Sun,N/A,93,0.68
P1169,Phlox Collection,Perennials,21.57,Spring,Advanced,Indoor,N/A,389,0.59
P1170,Phlox Collection,Perennials,22.61,Spring,Intermediate,Full Sun,N/A,1129,0.44
P1171,Zucchini Pro,Vegetable Seeds,4.32,Spring,Intermediate,Full Sun,100,428,0.51
P1172,Bone Meal Classic,Soil & Fertilizer,9.69,Spring,Beginner,Shade,N/A,128,0.42
P1173,Neem Oil Pro,Pest Control,12.1,Summer,Intermediate,Shade,N/A,1058,0.65
P1174,Compost Booster Collection,Soil & Fertilizer,12.63,Spring,Beginner,Partial Sun,N/A,359,0.47
P1175,Watering Wand Pro,Garden Tools,17.94,Spring,Beginner,Partial Sun,N/A,1212,0.46
P1176,Herb Kit Collection,Indoor Growing,113.21,Winter,Intermediate,Shade,N/A,1266,0.44
P1177,Climbing Rose Classic,Roses,19.08,Spring,Beginner,Full Sun,N/A,1464,0.57
P1178,Blueberry Premium,Fruit Plants,34.39,Spring,Beginner,Full Sun,84,1069,0.52
P1179,Seed Starter Mix Premium,Soil & Fertilizer,19.7,Spring,Advanced,Indoor,N/A,958,0.53
P1180,Climbing Rose Pro,Roses,40.03,Spring,Beginner,Partial Sun,N/A,481,0.45
P1181,Hybrid Tea Rose Collection,Roses,21.47,Spring,Intermediate,Shade,N/A,1427,0.36
P1182,Hybrid Tea Rose Pro,Roses,36.86,Spring,Advanced,Indoor,N/A,1426,0.45
P1183,Deer Repellent Heirloom,Pest Control,19.04,Summer,Intermediate,Shade,N/A,517,0.6
P1184,Daylily Organic,Perennials,9.45,Spring,Beginner,Shade,N/A,1101,0.65
P1185,Hybrid Tea Rose Classic,Roses,37.64,Spring,Intermediate,Shade,N/A,652,0.62
P1186,Pruner Pro,Garden Tools,16.82,Spring,Beginner,Indoor,N/A,1194,0.59
P1187,Cedar Raised Bed Premium,Raised Beds,172.17,Early Spring,Beginner,Full Sun,N/A,104,0.6
P1188,Bone Meal Mix,Soil & Fertilizer,8.41,Spring,Intermediate,Partial Sun,N/A,48,0.64
P1189,Bean Mix,Vegetable Seeds,8.94,Spring,Advanced,Indoor,80,62,0.43
P1190,Tomato Premium,Vegetable Seeds,8.05,Spring,Beginner,Shade,65,1050,0.51
P1191,Strawberry Starter,Fruit Plants,16.16,Spring,Intermediate,Indoor,63,1183,0.58
P1192,Sunflower Premium,Flower Seeds,3.06,Spring,Intermediate,Shade,N/A,81,0.4
P1193,Kale Premium,Vegetable Seeds,4.82,Spring,Beginner,Full Sun,39,591,0.43
P1194,Floribunda Rose Heirloom,Roses,44.42,Spring,Advanced,Indoor,N/A,1178,0.64
P1195,Kale Collection,Vegetable Seeds,6.96,Spring,Beginner,Full Sun,78,765,0.5
P1196,Grape Heirloom,Fruit Plants,33.86,Spring,Beginner,Indoor,46,1262,0.63
P1197,Cucumber Mix,Vegetable Seeds,5.45,Spring,Beginner,Shade,90,1288,0.62
P1198,Compost Booster Classic,Soil & Fertilizer,26.34,Spring,Intermediate,Shade,N/A,721,0.39
P1199,Wildflower Collection,Flower Seeds,4.5,Spring,Beginner,Indoor,N/A,1328,0.67
P1200,Blueberry Starter,Fruit Plants,38.59,Spring,Advanced,Shade,68,1468,0.5
P1201,LED Grow Light Collection,Indoor Growing,49.99,Winter,Intermediate,Shade,N/A,998,0.38
P1202,Salvia Heirloom,Perennials,22.13,Spring,Intermediate,Indoor,N/A,400,0.42
P1203,Cedar Raised Bed Mix,Raised Beds,193.19,Early Spring,Intermediate,Shade,N/A,474,0.68
P1204,Wildflower Pro,Flower Seeds,7.42,Spring,Intermediate,Partial Sun,N/A,1023,0.35
P1205,Grow Bag Organic,Raised Beds,155.84,Early Spring,Advanced,Indoor,N/A,467,0.65
P1206,Hybrid Tea Rose Heirloom,Roses,28.31,Spring,Intermediate,Indoor,N/A,100,0.57
P1207,Pruner Mix,Garden Tools,32.5,Spring,Beginner,Shade,N/A,66,0.52
P1208,Planter Box Heirloom,Raised Beds,176.06,Early Spring,Intermediate,Indoor,N/A,1325,0.48
P1209,Aster Collection,Flower Seeds,8.2,Spring,Intermediate,Partial Sun,N/A,302,0.58
P1210,Zucchini Premium,Vegetable Seeds,5.99,Spring,Intermediate,Partial Sun,51,218,0.52
P1211,Poppy Mix,Flower Seeds,8.99,Spring,Beginner,Shade,N/A,9,0.63
P1212,Organic Fertilizer Starter,Soil & Fertilizer,25.01,Spring,Advanced,Shade,N/A,1355,0.44
P1213,Humidity Dome Heirloom,Indoor Growing,82.47,Winter,Intermediate,Indoor,N/A,293,0.4
P1214,Slug Control Heirloom,Pest Control,19.05,Summer,Beginner,Partial Sun,N/A,584,0.47
P1215,Cosmos Premium,Flower Seeds,2.92,Spring,Intermediate,Full Sun,N/A,518,0.39
P1216,Cucumber Pro,Vegetable Seeds,3.94,Spring,Beginner,Indoor,28,606,0.64
P1217,Pepper Organic,Vegetable Seeds,6.76,Spring,Beginner,Full Sun,85,246,0.53
P1218,Watering Wand Classic,Garden Tools,19.27,Spring,Intermediate,Shade,N/A,1298,0.41
P1219,Cedar Raised Bed Heirloom,Raised Beds,192.21,Early Spring,Intermediate,Indoor,N/A,782,0.65
P1220,Knock Out Rose Premium,Roses,35.89,Spring,Advanced,Full Sun,N/A,973,0.45
P1221,Compost Booster Organic,Soil & Fertilizer,21.32,Spring,Beginner,Shade,N/A,150,0.38
P1222,Neem Oil Heirloom,Pest Control,10.41,Summer,Beginner,Indoor,N/A,337,0.37
P1223,Knock Out Rose Classic,Roses,42.16,Spring,Beginner,Shade,N/A,253,0.42
P1224,Pepper Premium,Vegetable Seeds,8.45,Spring,Intermediate,Indoor,99,286,0.53
P1225,Deer Repellent Classic,Pest Control,24.86,Summer,Intermediate,Indoor,N/A,1410,0.56
P1226,Poppy Pro,Flower Seeds,4.54,Spring,Advanced,Full Sun,N/A,1477,0.52
P1227,Humidity Dome Heirloom,Indoor Growing,74.7,Winter,Beginner,Partial Sun,N/A,1421,0.4
P1228,Neem Oil Starter,Pest Control,20.4,Summer,Intermediate,Shade,N/A,848,0.4
P1229,Planter Box Pro,Raised Beds,47.0,Early Spring,Intermediate,Indoor,N/A,1208,0.64
P1230,Wildflower Pro,Flower Seeds,3.72,Spring,Intermediate,Full Sun,N/A,567,0.41
P1231,Seed Tray Organic,Garden Tools,9.4,Spring,Beginner,Shade,N/A,593,0.59
P1232,Pruner Classic,Garden Tools,29.77,Spring,Beginner,Full Sun,N/A,1303,0.45
P1233,Tomato Feed Classic,Soil & Fertilizer,8.39,Spring,Beginner,Indoor,N/A,942,0.4
P1234,Organic Fertilizer Pro,Soil & Fertilizer,19.45,Spring,Beginner,Indoor,N/A,1260,0.46
P1235,Pruner Classic,Garden Tools,15.39,Spring,Beginner,Full Sun,N/A,905,0.52
P1236,Hosta Premium,Perennials,21.7,Spring,Intermediate,Partial Sun,N/A,541,0.36
P1237,Bean Organic,Vegetable Seeds,8.11,Spring,Beginner,Indoor,41,987,0.41
P1238,Grape Organic,Fruit Plants,16.83,Spring,Intermediate,Indoor,79,1396,0.45
P1239,Slug Control Collection,Pest Control,9.56,Summer,Intermediate,Partial Sun,N/A,182,0.36
P1240,Phlox Starter,Perennials,20.64,Spring,Beginner,Full Sun,N/A,1454,0.52
P1241,Pepper Starter,Vegetable Seeds,6.21,Spring,Beginner,Indoor,79,211,0.43
P1242,Coneflower Organic,Perennials,21.62,Spring,Beginner,Full Sun,N/A,386,0.42
P1243,Coneflower Starter,Perennials,19.11,Spring,Beginner,Partial Sun,N/A,382,0.67
P1244,Seed Starter Mix Mix,Soil & Fertilizer,13.0,Spring,Intermediate,Indoor,N/A,1168,0.62
P1245,Blueberry Organic,Fruit Plants,38.72,Spring,Intermediate,Partial Sun,76,1064,0.67
P1246,Seed Starter Mix Organic,Soil & Fertilizer,27.88,Spring,Beginner,Shade,N/A,833,0.47
P1247,Climbing Rose Starter,Roses,42.53,Spring,Beginner,Shade,N/A,591,0.65
P1248,Wildflower Starter,Flower Seeds,6.39,Spring,Beginner,Full Sun,N/A,540,0.49
P1249,Coneflower Organic,Perennials,23.77,Spring,Advanced,Full Sun,N/A,389,0.37
P1250,Microgreen Tray Organic,Indoor Growing,78.81,Winter,Beginner,Shade,N/A,457,0.44
P1251,Wildflower Heirloom,Flower Seeds,2.71,Spring,Beginner,Full Sun,N/A,461,0.36
P1252,Coneflower Organic,Perennials,24.5,Spring,Beginner,Indoor,N/A,52,0.43
P1253,Cedar Raised Bed Starter,Raised Beds,92.1,Early Spring,Beginner,Indoor,N/A,962,0.45
P1254,Gloves Pro,Garden Tools,18.64,Spring,Intermediate,Partial Sun,N/A,1421,0.63
P1255,Watering Wand Mix,Garden Tools,36.18,Spring,Beginner,Full Sun,N/A,289,0.59
P1256,Blackberry Classic,Fruit Plants,22.99,Spring,Beginner,Shade,56,1096,0.5
P1257,Zucchini Mix,Vegetable Seeds,4.47,Spring,Beginner,Full Sun,78,404,0.6
P1258,Pepper Organic,Vegetable Seeds,7.76,Spring,Beginner,Partial Sun,69,387,0.63
P1259,Hybrid Tea Rose Heirloom,Roses,46.58,Spring,Beginner,Shade,N/A,840,0.49
P1260,Pepper Classic,Vegetable Seeds,7.54,Spring,Intermediate,Partial Sun,32,409,0.42
P1261,Organic Fertilizer Premium,Soil & Fertilizer,14.12,Spring,Beginner,Indoor,N/A,402,0.53
P1262,Zucchini Mix,Vegetable Seeds,5.82,Spring,Beginner,Full Sun,88,836,0.4
P1263,Climbing Rose Premium,Roses,42.83,Spring,Beginner,Full Sun,N/A,207,0.58
P1264,Bone Meal Heirloom,Soil & Fertilizer,12.22,Spring,Intermediate,Full Sun,N/A,1264,0.56
P1265,Pruner Collection,Garden Tools,36.29,Spring,Beginner,Indoor,N/A,842,0.53
P1266,Cucumber Classic,Vegetable Seeds,4.13,Spring,Intermediate,Partial Sun,42,1390,0.41
P1267,Floribunda Rose Pro,Roses,29.6,Spring,Intermediate,Partial Sun,N/A,587,0.63
P1268,Poppy Collection,Flower Seeds,5.04,Spring,Beginner,Full Sun,N/A,244,0.52
P1269,Floribunda Rose Collection,Roses,23.2,Spring,Beginner,Shade,N/A,1276,0.48
P1270,Pruner Pro,Garden Tools,27.51,Spring,Beginner,Partial Sun,N/A,301,0.64
P1271,Watering Wand Organic,Garden Tools,7.73,Spring,Beginner,Partial Sun,N/A,615,0.5
P1272,Seed Tray Classic,Garden Tools,39.3,Spring,Beginner,Indoor,N/A,1125,0.59
P1273,Bone Meal Collection,Soil & Fertilizer,12.12,Spring,Beginner,Partial Sun,N/A,1253,0.38
P1274,Tomato Heirloom,Vegetable Seeds,4.55,Spring,Beginner,Full Sun,50,557,0.52
P1275,Neem Oil Classic,Pest Control,24.0,Summer,Beginner,Full Sun,N/A,1098,0.4
P1276,Grape Organic,Fruit Plants,38.2,Spring,Intermediate,Partial Sun,62,1386,0.4
P1277,Gloves Pro,Garden Tools,13.97,Spring,Intermediate,Full Sun,N/A,1014,0.44
P1278,Grape Mix,Fruit Plants,14.64,Spring,Advanced,Partial Sun,30,1209,0.55
P1279,Deer Repellent Mix,Pest Control,18.85,Summer,Beginner,Indoor,N/A,708,0.56
P1280,Seed Tray Premium,Garden Tools,27.36,Spring,Beginner,Indoor,N/A,454,0.6
P1281,Phlox Heirloom,Perennials,9.81,Spring,Intermediate,Partial Sun,N/A,68,0.64
P1282,Aster Pro,Flower Seeds,7.34,Spring,Beginner,Full Sun,N/A,1171,0.59
P1283,Blueberry Pro,Fruit Plants,22.98,Spring,Beginner,Shade,33,1234,0.37
P1284,Pruner Classic,Garden Tools,21.09,Spring,Intermediate,Partial Sun,N/A,303,0.48
P1285,Cucumber Starter,Vegetable Seeds,3.72,Spring,Beginner,Indoor,35,329,0.52
P1286,Marigold Mix,Flower Seeds,8.87,Spring,Advanced,Shade,N/A,965,0.61
P1287,Compost Booster Premium,Soil & Fertilizer,20.53,Spring,Advanced,Shade,N/A,1478,0.58
P1288,Bone Meal Premium,Soil & Fertilizer,19.01,Spring,Beginner,Full Sun,N/A,1225,0.51
P1289,Slug Control Heirloom,Pest Control,9.86,Summer,Beginner,Full Sun,N/A,237,0.67
P1290,Japanese Beetle Trap Collection,Pest Control,20.24,Summer,Beginner,Full Sun,N/A,1058,0.63
P1291,Salvia Organic,Perennials,10.86,Spring,Beginner,Full Sun,N/A,1257,0.53
P1292,Tomato Feed Pro,Soil & Fertilizer,29.61,Spring,Intermediate,Full Sun,N/A,1306,0.67
P1293,Climbing Rose Classic,Roses,25.32,Spring,Beginner,Full Sun,N/A,1434,0.51
P1294,Metal Raised Bed Classic,Raised Beds,161.6,Early Spring,Intermediate,Full Sun,N/A,1168,0.64
P1295,Grape Mix,Fruit Plants,23.49,Spring,Beginner,Partial Sun,41,996,0.59
P1296,Hosta Premium,Perennials,11.21,Spring,Intermediate,Full Sun,N/A,779,0.52
P1297,Knock Out Rose Heirloom,Roses,31.14,Spring,Beginner,Full Sun,N/A,339,0.5
P1298,Raspberry Mix,Fruit Plants,35.66,Spring,Intermediate,Full Sun,48,1259,0.66
P1299,Metal Raised Bed Pro,Raised Beds,78.83,Early Spring,Beginner,Shade,N/A,1480,0.38
P1300,Phlox Classic,Perennials,22.13,Spring,Beginner,Full Sun,N/A,557,0.53
